,time,precip
714,2013-12-16,5.565932
715,2013-12-17,4.4675407
716,2013-12-18,8.835859
717,2013-12-19,6.652167
718,2013-12-20,6.057699
719,2013-12-21,12.809034
720,2013-12-22,7.194639
721,2013-12-23,10.902441
722,2013-12-24,6.125224
723,2013-12-25,4.667625
724,2013-12-26,7.6354103
725,2013-12-27,8.454045
726,2013-12-28,7.229558
727,2013-12-29,3.6885252
728,2013-12-30,1.2596115
729,2013-12-31,5.404694
730,2014-01-01,2.6327937
731,2014-01-02,1.1818622
732,2014-01-03,2.6648083
733,2014-01-04,4.9227843
734,2014-01-05,5.458346
735,2014-01-06,5.2715135
736,2014-01-07,7.626875
737,2014-01-08,10.050806
738,2014-01-09,5.0086513
739,2014-01-10,11.630211
740,2014-01-11,9.811571
741,2014-01-12,11.543347
742,2014-01-13,18.29404
743,2014-01-14,6.8876905
744,2014-01-15,4.27725
745,2014-01-16,2.5922906
746,2014-01-17,4.538534
747,2014-01-18,12.815108
748,2014-01-19,6.996731
749,2014-01-20,6.538896
750,2014-01-21,5.174162
751,2014-01-22,4.381229
752,2014-01-23,8.97514
753,2014-01-24,3.845982
754,2014-01-25,5.08782
755,2014-01-26,11.863608
756,2014-01-27,4.746591
757,2014-01-28,6.0230055
758,2014-01-29,16.084606
759,2014-01-30,7.4976735
760,2014-01-31,2.751883
761,2014-02-01,5.747334
762,2014-02-02,5.5054445
763,2014-02-03,9.646076
764,2014-02-04,7.4922485
765,2014-02-05,10.009949
766,2014-02-06,8.92172
767,2014-02-07,16.91476
768,2014-02-08,6.829515
769,2014-02-09,3.512425
770,2014-02-10,11.714731
771,2014-02-11,21.76516
772,2014-02-12,14.206774
773,2014-02-13,7.4631224
774,2014-02-14,9.744826
775,2014-02-15,10.153617
776,2014-02-16,10.1567955
777,2014-02-17,10.599977
778,2014-02-18,7.5394983
779,2014-02-19,4.9332533
780,2014-02-20,6.318756
781,2014-02-21,11.466444
782,2014-02-22,10.809138
783,2014-02-23,9.450685
784,2014-02-24,7.72563
785,2014-02-25,7.180466
786,2014-02-26,13.94217
787,2014-02-27,7.0873103
788,2014-02-28,3.936177
789,2014-03-01,8.79549
790,2014-03-02,17.643139
791,2014-03-03,4.3091497
792,2014-03-04,6.532887
793,2014-03-05,8.045667
794,2014-03-06,12.5798025
795,2014-03-07,14.6872635
796,2014-03-08,26.436163
797,2014-03-09,3.6545722
798,2014-03-10,1.8372827
799,2014-03-11,7.9641557
800,2014-03-12,13.523105
801,2014-03-13,4.1591606
802,2014-03-14,11.0976
803,2014-03-15,8.038796
804,2014-03-16,2.5499911
805,2014-03-17,3.7798834
806,2014-03-18,10.925857
807,2014-03-19,9.808464
808,2014-03-20,19.634148
809,2014-03-21,10.614184
810,2014-03-22,10.530823
811,2014-03-23,27.709784
812,2014-03-24,19.758184
813,2014-03-25,13.175384
814,2014-03-26,7.4314256
815,2014-03-27,15.2859745
816,2014-03-28,16.492554
817,2014-03-29,1.6297841
818,2014-03-30,2.0418832
819,2014-03-31,10.045076
820,2014-04-01,26.27731
821,2014-04-02,15.276126
822,2014-04-03,3.4369445
823,2014-04-04,4.3373814
824,2014-04-05,7.7443457
825,2014-04-06,7.1393523
826,2014-04-07,5.6222754
827,2014-04-08,7.0669594
828,2014-04-09,9.348163
829,2014-04-10,4.307793
830,2014-04-11,1.7498238
831,2014-04-12,3.9633386
832,2014-04-13,9.644447
833,2014-04-14,20.828686
834,2014-04-15,9.964451
835,2014-04-16,7.8665023
836,2014-04-17,11.910122
837,2014-04-18,3.6923232
838,2014-04-19,6.5783677
839,2014-04-20,13.737672
840,2014-04-21,13.2012
841,2014-04-22,8.791405
842,2014-04-23,12.982471
843,2014-04-24,12.087146
844,2014-04-25,10.285218
